0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-1.5696487673,0.901978,0.0242935802,0.786317,-1.1960269027,0.779554,1.3896709534,0.859332,0.0229461127,0.823965,1.2517977999,0.755593,1.5376472748,0.791504,1.5707936358,0.705133,-0.0006609951,0.680916,1.401229894,0.705904,1.3798833162,0.826276,-0.0006266066,0.689761,1.4417748519,0.703416,1.5171638806,0.857398,0.5069619117,0.349098,-0.509878129,0.372058,0.2899703997,0.40699,-0.4150061828,0.543932,1.4756736709,0.892778,-0.1870714669,0.842445,-0.7002842442,0.700017,-1.025669864,0.785298,0.190987426,0.790997,0.7264373714,0.936545,3
1.4921963548,0.886517,-0.0216275667,0.811994,-1.363517919,0.814556,-1.3736985565,0.81783,-0.0240326442,0.749903,1.4479911164,0.792003,-1.2213422934,0.852431,1.4537239994,0.699039,-0.0008749451,0.686644,1.379083772,0.716791,-1.5703885676,0.620312,-0.035980124,0.702741,1.5478199683,0.730247,1.4035736654,0.750778,0.6599726022,0.851069,-0.664302811,0.795212,-0.3222968964,0.683392,0.1676778182,0.850555,1.1861935174,0.736752,-0.2245349074,0.806048,-0.4194113082,0.600225,0.9642028356,0.247047,-0.0041222458,0.247785,0.8375444918,0.405295,0
-1.4806805135,0.845741,0.1351504474,0.77566,-0.0149736379,0.885644,-0.6777096207,0.859116,0.061604888,0.750893,0.3553788932,0.840101,-0.2598303923,0.905647,-1.5552188914,0.63579,-0.0004430559,0.643915,1.4014006042,0.745131,1.5300726757,0.672362,-8.15E-05,0.664457,1.5486455753,0.762292,1.4123389252,0.780899,1.0965401323,0.812591,-0.4630775014,0.831271,-0.072845946,0.654454,0.5816565675,0.901456,1.1891384794,0.745039,-0.4149937557,0.819637,-0.3783711783,0.59124,1.0249610412,0.44648,-0.0023154635,0.477618,1.3205345658,0.427396,0
0.6201780082,0.83861,-0.4523821723,0.79211,-1.1646833888,0.84503,-0.9569276587,0.824864,-0.4632551721,0.838597,-0.8147842027,0.870774,0.217340941,0.841468,1.3036438607,0.645696,-0.0425527153,0.656848,1.5472230183,0.746225,1.3439725941,0.831355,-0.0825430971,0.614357,-1.4862619983,0.72933,1.4330599212,0.765494,0.2605800831,0.771442,-0.8638092928,0.771574,-0.8186345947,0.624635,0.0696822362,0.787725,-0.8975800828,0.693697,-0.0659976506,0.678266,0.7175193183,0.617768,-1.2066960133,0.773494,0.5792766586,0.791145,0.3607848931,0.691148,1
0.7956512269,0.869647,-0.18986022,0.804317,0.6374927398,0.728616,0.6980330235,0.90023,-0.0849459783,0.745491,-0.8718435368,0.750523,-0.881614312,0.89189,1.3765624398,0.648725,-0.0006705295,0.651461,-1.4172591945,0.741014,-1.2985547485,0.83054,-0.0333198013,0.621105,-1.4849991982,0.738226,-1.5158249639,0.776258,0.2202682074,0.866199,-0.8329390523,0.811889,-0.8313456459,0.166269,0.0948395495,0.935856,-0.9604746136,0.764436,-0.0777009754,0.786731,-1.0450535617,0.525648,-1.4848738119,0.810732,0.3593708902,0.786409,1.5381629524,0.595592,2
0.7517129769,0.854883,-0.0801535278,0.827109,-1.3140099996,0.842979,-1.2890967195,0.846197,-0.1438695415,0.835526,1.1868312704,0.782923,-1.5312889981,0.900466,1.5691065154,0.740261,-0.0008350667,0.714524,1.387601032,0.788656,1.4625649304,0.769857,-0.0008805274,0.729371,1.4984834925,0.788003,1.2797905801,0.792904,0.3792358756,0.747919,-0.9239781345,0.737203,-0.2622516972,0.25926,-0.1139383489,0.810784,-1.2637089691,0.70696,-0.0852561632,0.759825,-1.2271668703,0.601727,1.3730143042,0.76037,0.0942018502,0.755561,0.5842941662,0.665572,3
0.7780434556,0.834929,-0.0945381747,0.801359,-1.5042737214,0.841135,0.9558238982,0.939115,-0.1137265114,0.835782,1.0342258338,0.838988,0.3400339508,0.796576,1.5693481109,0.735722,0.0013017533,0.730039,1.5704161744,0.779618,1.5214479652,0.78332,0.0010205872,0.706002,1.5701269791,0.811831,1.3917659117,0.712966,1.5527370598,0.728953,-0.2497688892,0.80592,0,0,0.165138058,0.819319,-1.4390125827,0.767077,-0.2421453603,0.699659,1.0279894415,0.567361,-0.3374522408,0.622527,1.526770384,0.607455,0.507569608,0.787452,0
0.5684032819,0.808385,-0.0848983873,0.761852,1.5703303472,0.623138,0.6172446176,0.920162,-0.2168795408,0.71344,0.6602603618,0.842824,0.7078364476,0.74556,1.5700172884,0.718317,0.0009417489,0.707669,-1.5487787253,0.774422,-1.517682009,0.775607,0.0012404719,0.654697,-1.4525514861,0.778645,1.4141733407,0.714878,-1.3589242661,0.351013,-0.5886684329,0.470608,0,0,0.0012851119,0.498962,-1.5690923435,0.64799,-0.2720242542,0.702225,-1.5702646005,0.536378,-0.2866571369,0.676166,-1.1150206926,0.657917,0.8531872208,0.706838,0
0.7541543396,0.773718,-0.321027602,0.670299,-0.943123655,0.78716,-1.257649906,0.841102,-0.2838898774,0.736276,0.2949756966,0.835587,0.2232684001,0.834794,1.3645110962,0.698583,-0.0469944975,0.711129,-1.5492190211,0.724598,1.4448929773,0.777214,-0.0017155124,0.650576,-1.2711711109,0.788705,1.144043766,0.767223,0.0821834015,0.128197,0.7967439628,0.155836,-0.705455849,0.108377,0.1089637778,0.175365,-0.9705673888,0.694099,-0.0749745515,0.67541,0.8382798926,0.628527,-0.2257022168,0.702147,-0.924756014,0.640544,0.7499877192,0.672772,1
0.8677581779,0.809984,-0.1637788495,0.808855,-0.0371389242,0.581302,0.0008345136,0.739969,-0.0570503418,0.804803,-0.4626675932,0.745962,-0.47879031,0.829042,-1.4503610529,0.690922,-0.0001079207,0.663677,1.4946261038,0.759102,1.3755332519,0.740409,-0.0006503581,0.675623,1.4718335333,0.742019,1.1263834249,0.700216,0.585954713,0.544009,-0.4462460584,0.636485,-0.6596927252,0.339085,0.1624965531,0.830127,-0.6392901615,0.669228,-0.0007272716,0.620927,0.0831572735,0.497373,-1.3251088318,0.782011,0.4423087736,0.79027,0.3224134902,0.718211,2
